"company_id" "name" "country" "category" "sales" "profits" "assets" "marketvalue" "level" "jobfamily" "years_professional_experience" "years_in_position" "sex" "total_compensation" "variable_compensation" "base_salary"
"1" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Senior" "IT" 35 23 "Male" 134885 26783 108102
"2" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Expert" "Sales" 9 8 "Male" 100522 17880 82642
"3" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Expert" "IT" 18 10 "Male" 83850 6417 77433
"4" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Junior" "Sales" 3 3 "Male" 89942 23410 66532
"5" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Expert" "Sales" 8 8 "Male" 100000 21045 78955
"6" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Senior" "Sales" 23 10 "Male" 145200 31059 114141
"7" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Expert" "IT" 41 33 "Male" 88600 5531 83069
"8" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Expert" "IT" 45 39 "Male" 70700 6258 64442
"9" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Senior" "Sales" 32 25 "Male" 128464 44751 83713
"10" 34 "Deutsche Bank Group" "Germany" "Diversified financials" 58.85 1.53 792.49 50.23 "Junior" "IT" 6 3 "Male" 77081 8350 68731
"11" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "Sales" 41 31 "Male" 125196 17954 107242
"12" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "Sales" 26 19 "Male" 193000 20548 172452
"13" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "IT" 30 29 "Male" 148500 21084 127416
"14" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "Sales" 21 21 "Male" 118971 24930 94041
"15" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Expert" "Sales" 48 53 "Male" 90000 24897 65103
"16" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "IT" 36 19 "Female" 117555 11654 105901
"17" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Junior" "IT" 4 1 "Male" 73000 5921 67079
"18" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "IT" 14 9 "Male" 108100 9177 98923
"19" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "Sales" 56 49 "Male" 186960 35725 151235
"20" 71 "Volkswagen Group" "Germany" "Consumer durables" 91.33 2.71 112.87 17.42 "Senior" "IT" 33 18 "Male" 186023 20424 165599
"21" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Junior" "Sales" 5 3 "Male" 82379 13604 68775
"22" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "Sales" 22 12 "Male" 101000 34198 66802
"23" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "IT" 31 28 "Male" 113543 7130 106413
"24" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "Sales" 27 27 "Male" 112696 18098 94598
"25" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "Sales" 26 22 "Male" 150000 14872 135128
"26" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Expert" "Sales" 13 6 "Male" 107150 15583 91567
"27" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "IT" 45 45 "Male" 107550 10762 96788
"28" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "IT" 39 36 "Male" 88600 7751 80849
"29" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "Sales" 37 15 "Male" 137317 24152 113165
"30" 74 "BMW-Bayerische Motor" "Germany" "Consumer durables" 52.23 2.12 58.11 29.03 "Senior" "IT" 38 38 "Male" 150680 7382 143298
"31" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "Sales" 45 45 "Male" 147765 15614 132151
"32" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "Sales" 40 28 "Male" 98193 22109 76084
"33" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "Sales" 15 14 "Male" 132825 19056 113769
"34" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "IT" 24 22 "Male" 96614 9982 86632
"35" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Junior" "Sales" 3 3 "Male" 89942 14696 75246
"36" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "Sales" 28 17 "Male" 160400 20757 139643
"37" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "IT" 31 30 "Male" 122875 8179 114696
"38" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "IT" 39 38 "Male" 136500 14133 122367
"39" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "Sales" 16 15 "Male" 135027 23295 111732
"40" 123 "Bayer Group" "Germany" "Chemicals" 30.42 1.11 42.78 21.9 "Senior" "IT" 28 14 "Female" 109954 6658 103296
"41" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Junior" "Sales" 11 0 "Male" 77000 13251 63749
"42" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Senior" "Sales" 35 31 "Male" 99418 18803 80615
"43" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Expert" "IT" 11 8 "Male" 82099 8391 73708
"44" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Senior" "Sales" 28 28 "Male" 119015 21535 97480
"45" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Senior" "Sales" 23 23 "Male" 101000 16075 84925
"46" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Senior" "Sales" 34 20 "Male" 129600 17432 112168
"47" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Senior" "IT" 31 26 "Male" 121200 12664 108536
"48" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Senior" "IT" 27 16 "Male" 127100 12066 115034
"49" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Senior" "Sales" 13 11 "Male" 106231 18817 87414
"50" 218 "Metro AG" "Germany" "Food markets" 54.12 0.47 22.94 14.38 "Expert" "IT" 11 8 "Male" 104121 8074 96047
"51" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Senior" "IT" 31 26 "Male" 89565 6182 83383
"52" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Junior" "Sales" 8 3 "Male" 75044 11907 63137
"53" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Senior" "Sales" 30 14 "Male" 102235 11912 90323
"54" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Senior" "IT" 17 14 "Male" 105668 7858 97810
"55" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Expert" "Sales" 10 7 "Male" 95436 23750 71686
"56" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Senior" "Sales" 16 11 "Male" 145350 31930 113420
"57" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Senior" "IT" 28 7 "Female" 116450 10208 106242
"58" 350 "Allianz Worldwide" "Germany" "Insurance" 96.88 -1.23 851.24 48.07 "Expert" "IT" 11 1 "Male" 104800 8409 96391
